1,1,5.795800
1,2,3.032880
1,4,1.855400
1,8,1.537260
1,16,1.433840
1,32,1.425980
1,64,1.376020
1,128,1.405020
1,256,1.390760
2,1,41.604920
2,2,9.424950
2,4,2.161740
2,8,1.522730
2,16,1.532600
2,32,1.473960
2,64,1.507620
2,128,1.529840
2,256,1.518720
4,1,36.193245
4,2,21.041220
4,4,10.694980
4,8,1.937160
4,16,1.834145
4,32,1.781790
4,64,1.701505
4,128,1.690515
4,256,1.713510
8,1,30.530628
8,2,31.110560
8,4,32.876425
8,8,8.968023
8,16,3.323615
8,32,1.934013
8,64,1.987620
8,128,1.994210
8,256,2.060777
16,1,28.879748
16,2,26.630946
16,4,25.750250
16,8,10.780060
16,16,5.325643
16,32,1.168432
16,64,1.230484
16,128,1.320435
16,256,1.349479
32,1,16.725566
32,2,14.322467
32,4,14.326376
32,8,14.557890
32,16,12.397382
32,32,8.891358
32,64,1.311868
32,128,7.276517
32,256,2.519464
64,1,16.270461
64,2,13.589526
64,4,13.287896
64,8,13.305155
64,16,13.224769
64,32,5.017229
64,64,5.019122
64,128,8.086243
64,256,9.120304
