1,1,17.899540
1,2,17.011240
1,4,6.522500
1,8,3.086580
1,12,1.897200
1,16,2.065800
1,32,2.004660
1,64,1.861800
2,1,44.593880
2,2,29.349720
2,4,18.577150
2,8,2.654730
2,12,2.525180
2,16,1.912710
2,32,2.531080
2,64,2.536730
4,1,50.046580
4,2,53.478870
4,4,46.985760
4,8,28.559215
4,12,13.552250
4,16,5.663535
4,32,2.800090
4,64,2.755260
8,1,41.670803
8,2,43.630210
8,4,47.489013
8,8,45.675100
8,12,39.923475
8,16,28.001558
8,32,4.669403
8,64,4.161857
12,1,40.944295
12,2,41.278445
12,4,43.622808
12,8,43.241648
12,12,40.796870
12,16,38.482508
12,32,10.473578
12,64,5.272988
16,1,40.844260
16,2,40.108643
16,4,41.449897
16,8,41.120964
16,12,40.364421
16,16,39.374941
16,32,10.622653
16,64,11.928776
32,1,40.374697
32,2,38.921571
32,4,39.701672
32,8,38.381801
32,12,37.654326
32,16,37.608697
32,32,31.679876
32,64,17.812793
64,1,39.305023
64,2,37.886829
64,4,39.238927
64,8,38.303332
64,12,34.885938
64,16,20.921509
64,32,19.558151
64,64,17.443817
