32,4,3493.08,, p=8,3909.871,4726.561,4603.474,3086.12,3.148,3.254,3.6,3.829,3.659,,,326,1127,1019,143,259,30,231,494,67,,
32,8,3803.286,,   p=16,3604.914,3677.429,4003.022,3688.1,2958.501,3.439,4.262,4.861,4.941,,,6508,2556,512,1369,485,1494,889,2416,961,,
32,16,3858.888,,   p=32,3374.09,3394.415,3493.08,3803.286,3858.888,2856.644,3.17,4.641,6.421,,,6982,7121,4545,1236,1251,1654,1582,1398,1668,,
32,32,2856.639,,   p=64,3349.608,3373.243,3679.007,4137.892,3930.922,3526.686,1846.586,3.548,7.643,,,8922,16931,7957,6289,1798,1771,2812,3149,1718,,
32,64,3.126,,,,,,,,,,,,,,7261,8266,10777,9511,6275,2221,3742,3727,3023,,
32,128,4.593,,,,,,,,,,,,,,7571,9850,9457,12652,9708,7950,2062,2360,2576,,
32,256,6.369,,,,,,,,,,,,,,7178,10657,11645,15089,11114,10504,5028,2168,3532,,
64,1,3349.608,,,,,,,,,,,,,,,,,,,,,,,,
64,2,3373.243,,,,,STD,,,,,,,,,,,,,,,,,,,
64,4,3679.007,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256,,,,,,,,,,,,,
64,8,4137.892,, p=1,80.175,340.653,13.136,2.882,3.017,1.464,3.469,5.143,3.049,,,,,,,,,,,,,
64,16,3930.922,, p=2,1770.506,539.343,37.896,11.214,3.739,19.19,6.901,24.965,11.297,,,,,,,,,,,,,
64,32,3526.686,, p=4,782.155,871.73,1191.392,15.329,12.943,20.248,21.009,17.038,23.373,,,,μαχ,,,,,,,,,
64,64,1846.572,, p=8,886.092,1975.131,1224.828,1374.703,13.084,30.606,36.114,40.376,34.042,,,,   p \ q, q=1, q=2, q=4, q=8, q=16, q=32,q=64, q=128,Q=256
64,128,3.505,,   p=16,619.073,702.983,1038.824,744.932,1479.741,29.803,46.214,59.416,56.967,,,, p=1,22.037,61.711,0.074,0.02,0.063,0.03,0.053,0.046,0.095
64,256,7.595,,   p=32,413.523,683.517,644.403,1108.105,1115.186,1278.458,10.316,49.879,74.013,,,, p=2,251.246,50.252,3.954,0.032,0.031,0.035,0.02,0.126,0.071
,,,,   p=64,258.867,869.086,1184.714,1488.907,1374.579,968.736,1527.268,7.564,86.352,,,, p=4,92.263,107.396,223.641,0.212,0.04,0.044,0.009,0.062,0.007
,,,,,,,,,,,,,,,,, p=8,29.459,338.343,99.485,300.476,0.043,0.079,0.172,0.083,0.049
,,,,,,,,,,,,,,,,,   p=16,0.009,58.697,98.519,66.785,35.691,0.08,0.046,0.028,0.138
,,,,,,,,,,,,,,,,,   p=32,15.788,34.874,2.043,55.778,136.684,43.367,0.003,0.276,0.142
,,,,,,,,,,,,,,,,,   p=64,13.44,29.351,48.443,11.387,11.662,30.809,69.822,0.031,0.041
